grammar_error_sentence,corrected_sentence,spelling_error_sentences
ළමයි ඔහුගෙන් පොතක් දෙවෙමු,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුගේ පොතක් ගැනවේ
ඔබ සින්දු කිව්වොත් නුබලා ගෙදර යයි,ඔබ සින්දු කිව්වොත් නුබලා ගෙදර යනවාලා,ඔ සින්දු කිව්වොත් නුබලා ගෙදර යනවාලා
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් ගත්තෙහු,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,මම නැටුම් නටද්දී වාහන ගදර වේගයෙන් යැවවේ
ලස්සන නුබලා පොත බලා ගෙදර ගියේය,ලස්සන නුබලා පොත බලා ගෙදර ගියෙහු,ලස්සන නුබලා පොත ලා ගෙදර ගියෙහු
ඔබ සින්දු කිව්වොත් ළමයි ගෙදර යමුවා,ඔබ සින්දු කිව්වොත් ළමයි ගෙදර යන්නෝය,ඔබ සින්දු කිව්වොත් ළමයි ගෙදර න්නෝය
ඔබ සින්දු කිව්වොත් මම ඔහුට පොතක් ගන්නෙමිවා,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවේ
ළමයි ඔහුගෙන් පොතක් දුන්නෝය,වාහන ඔහුගෙන් පොතක් ගැනවේ,වහන ඔහුගෙන් පොතක් ගැනවේ
වාහනය ඔහුගෙන් පොතක් දුන්නෝය,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුගෙන් පොතක් ගනවේ
මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙනවා,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,ම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ
ඔබ සින්දු කිව්වොත් නුබලා ඔහුට පොතක් ගන්හිවා,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,බ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ
මම ඔහුට පොතක් ගත්තෙමු,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ගෙදර වේගයේ යැවවේ
ඔබ සින්දු කිව්වොත් නුබ වේගයෙන් යවන්නෙහු,ඔබ සින්දු කිව්වොත් නුබ වේගයෙන් යවන්නෙහි,ඔබ සින්දු කිව්වොත් නුබ වේගයෙන යවන්නෙහි
මම නැටුම් නටද්දී අපි වේගයෙන් යහු,මම නැටුම් නටද්දී අපි වේගයෙන් යවමු,මම නැටම් නටද්දී අපි වේගයෙන් යවමු
වාහන වේගයෙන් යැවෙහි,වාහන වේගයෙන් යැවේ,වාහන වේගෙන් යැවේ
අපි පොත බලා යහුවා,අපි පොත බලා යවමු,අප පොත බලා යවමු
මම නැටුම් නටද්දී ලස්සන නුබ ගෙදර ගියෙමි,මම නැටුම් නටද්දී ලස්සන නුබ ගෙදර යහිවා,මම නැටුම් නටද්දී ලස්සන ුබ ගෙදර යහිවා
ළමයා ඔහුගෙන් පොතක් ගත්තෝය,ළමයා ඔහුගෙන් පොතක් ගත්තේය,ළමයා ඔහුගෙන් පොතක් ගත්තේ
මම නැටුම් නටද්දී මම යනු,වාහන ඔහුට පොතක් දෙවෙයි,වාහන ඔහුට පතක් දෙවෙයි
මම නැටුම් නටද්දී ලස්සන නුබලා ගෙදර යවමි,මම නැටුම් නටද්දී ලස්සන නුබලා ගෙදර යවන්නෙහු,මම නැටුම් නටද්දී ලස්න නුබලා ගෙදර යවන්නෙහු
නුබලා ඔහුට පොතක් ගන්වන්නෙමු,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ගෙද වේගයෙන් යැවවේ
ඔබ සින්දු කිව්වොත් නුබ ඔහුගෙන් පොතක් දෙන්නෙහිවා,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔබ සින්දු කිව්වොත් වාහ ඔහුගෙන් පොතක් ගැනවේ
වාහනය පොත බලා ගෙදර වේගයෙන් යන්නෙහි,වාහනය පොත බලා ගෙදර වේගයෙන් යන්නීය,වාහනය පොත බලා ගෙදර වේගයෙන් යන්නය
ඔබ සින්දු කිව්වොත් ලස්සන ළමයි ගෙදර යනලදී,ඔබ සින්දු කිව්වොත් ලස්සන ළමයි ගෙදර යවන්නෝය,ඔබ සින්දු ිව්වොත් ලස්සන ළමයි ගෙදර යවන්නෝය
ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් ගන්නෙහි,ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් ගන්නෙමිවා,ඔබ සින්දු කිව්ොත් මම ඔහුගෙන් පොතක් ගන්නෙමිවා
ඔබ සින්දු කිව්වොත් නුබලා ඔහුගෙන් පොතක් දෙවති,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔබ සින්දු කිව්වොත වාහන ඔහුගෙන් පොතක් ගැනවේ
වාහන ගෙදර වේගයෙන් ගියෙමු,වාහන ගෙදර වේගයෙන් යවයි,වාහ ගෙදර වේගයෙන් යවයි
මම නැටුම් නටද්දී ළමයි ගෙදර වේගයෙන් යහිවා,මම නැටුම් නටද්දී ළමයි ගෙදර වේගයෙන් යවන්නෝය,මම නැටුම් නටද්දී ළමයි ගෙර වේගයෙන් යවන්නෝය
ඔබ සින්දු කිව්වොත් නුබලා ඔහුට පොතක් ගන්නලදී,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වගයෙන් යැවවේ
මම නැටුම් නටද්දී ළමයා ගෙදර වේගයෙන් යවහි,මම නැටුම් නටද්දී ළමයා ගෙදර වේගයෙන් යවයි,මම නැටම් නටද්දී ළමයා ගෙදර වේගයෙන් යවයි
ඔබ සින්දු කිව්වොත් නුබ ගෙදර වේගයෙන් යති,ඔබ සින්දු කිව්වොත් අපි ගෙදර වේගයෙන් යැවෙමු,ඔබ සින්දු කිව්වොත් අපි ගෙදර වේගයෙන් යවෙමු
මම බත් කමින් ගියෝය,මම බත් කමින් ගියෙමි,ම බත් කමින් ගියෙමි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවෙමි,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහි,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් ුන්නෙහි
ඔබ සින්දු කිව්වොත් නුබලා යවන්නෙමි,ඔබ සින්දු කිව්වොත් නුබලා යනවාලා,ඔබ සින්දු ිව්වොත් නුබලා යනවාලා
මම නැටුම් නටද්දී මම ඔහුට පොතක් දෙහු,මම නැටුම් නටද්දී මම ඔහුට පොතක් දෙවමි,ම නැටුම් නටද්දී මම ඔහුට පොතක් දෙවමි
ලස්සන ළමයි පොත බලා ගෙදර යැවෙහු,ලස්සන ළමයි පොත බලා ගෙදර ගියෝය,ලස්සන ළමයි පොත බලා ෙදර ගියෝය
නුබ වේගයෙන් යන්නේය,නුබ වේගයෙන් යන්නෙහිවා,නු වේගයෙන් යන්නෙහිවා
වාහන ඔහුට පොතක් ගැනෙහි,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ගෙර වේගයෙන් යැවවේ
ලස්සන නුබ බත් කමින් ගෙදර යවන්නෙමි,ලස්සන නුබ බත් කමින් ගෙදර යව,ලස්සන නුබ බත කමින් ගෙදර යව
ඔබ සින්දු කිව්වොත් මම ගෙදර වේගයෙන් යවන්නීය,ඔබ සින්දු කිව්වොත් මම ගෙදර වේගයෙන් යමිවා,ඔබ සින්ු කිව්වොත් මම ගෙදර වේගයෙන් යමිවා
ළමයා බත් කමින් ගෙදර වේගයෙන් යති,නුබලා බත් කමින් ගෙදර වේගයෙන් යැවෙහු,නුබලා බ් කමින් ගෙදර වේගයෙන් යැවෙහු
ඔබ සින්දු කිව්වොත් නුබ යනවාලා,ඔබ සින්දු කිව්වොත් නුබ යනවා,ඔබ සින්දු කිව්වොත් නුබ යනව
ඔබ සින්දු කිව්වොත් අපි ගෙදර යන්නේය,ඔබ සින්දු කිව්වොත් අපි ගෙදර යන්නෙමුවා,ඔබ සින්දු කිව්වොත් අපි ගෙදර න්නෙමුවා
ළමයා පොත බලා යති,නුබලා පොත බලා යැවෙහු,නුබලා පත බලා යැවෙහු
මම ඔහුට පොතක් ගැනවෙති,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ගෙද වේගයෙන් යැවවේ
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවෙමු,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දුන්නෙහු,මම නැටුම් නටද්දී නුබලා ඔහු පොතක් දුන්නෙහු
මම නැටුම් නටද්දී ලස්සන නුබ ගෙදර යවන්නෙහු,මම නැටුම් නටද්දී ලස්සන නුබ ගෙදර යවන්නෙහි,ම නැටුම් නටද්දී ලස්සන නුබ ගෙදර යවන්නෙහි
ඔබ සින්දු කිව්වොත් වාහනය වේගයෙන් යහි,ඔබ සින්දු කිව්වොත් වාහනය වේගයෙන් යවයි,ඔබ සින්දු කිව්වොත් වාහනය වේයෙන් යවයි
මම නැටුම් නටද්දී නුබලා ඔහුගෙන් පොතක් දුන්නෙහු,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,ම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ
ළමයි බත් කමින් ගෙදර යයි,ළමයි බත් කමින් ගෙදර යන්නෝය,ළමයි ත් කමින් ගෙදර යන්නෝය
ළමයා ගෙදර යමි,ළමයා ගෙදර යන්නේය,ළමා ගෙදර යන්නේය
ඔබ සින්දු කිව්වොත් වාහන වේගයෙන් යවමි,ඔබ සින්දු කිව්වොත් වාහන වේගයෙන් යවන්නේය,ඔබ සින්දු කිවවොත් වාහන වේගයෙන් යවන්නේය
නුබලා ඔහුගෙන් පොතක් දෙමිවා,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුගෙන් ොතක් ගැනවේ
ලස්සන නුබලා පොත බලා ගෙදර යමිවා,ලස්සන නුබලා පොත බලා ගෙදර යනවාලා,ලස්සන නුබලා පොත බලා ගෙද යනවාලා
වාහන ගෙදර යන්නෙමි,වාහන ගෙදර යන්නීය,වාහන ගෙදර යන්නී
මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් ගන්නලදී,මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් ගන්වයි,මම නැටුම් නටද්දී වහනය ඔහුගෙන් පොතක් ගන්වයි
මම නැටුම් නටද්දී වාහනය වේගයෙන් යති,මම නැටුම් නටද්දී ළමයි වේගයෙන් යැවවෙති,මම නැටුම් නට්දී ළමයි වේගයෙන් යැවවෙති
මම පොත බලා ගියෝය,මම පොත බලා ගියෙමි,මම පොත බා ගියෙමි
මම නැටුම් නටද්දී මම යවන්නේය,මම නැටුම් නටද්දී මම යවන්නෙමි,මම නැටුම් නටද්දී මම යවන්නමි
ළමයි ඔහුගෙන් පොතක් ගනිමුවා,ළමයි ඔහුගෙන් පොතක් ගන්නෝය,ළමයි ඔහුගෙන් පොතක් ගන්නය
ඔබ සින්දු කිව්වොත් අපි ගියෙහු,ඔබ සින්දු කිව්වොත් අපි ගියෙමු,ඔබ සින්දු කිව්වොත් අි ගියෙමු
ඔබ සින්දු කිව්වොත් ලස්සන ළමයි ගෙදර යත්වා,ඔබ සින්දු කිව්වොත් ලස්සන ළමයි ගෙදර යති,ඔබ සින්දු කිව්වොත් ලසසන ළමයි ගෙදර යති
මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් දෙමුවා,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පතක් ගැනවේ
ළමයි බත් කමින් ගෙදර ගියේය,ළමයි බත් කමින් ගෙදර යවන්නෝය,ළමයි බත් කමින් ගදර යවන්නෝය
නුබ පොත බලා ගෙදර වේගයෙන් ගියේය,නුබ පොත බලා ගෙදර වේගයෙන් ගියෙහි,නුබ පොත බලා ගෙදර ේගයෙන් ගියෙහි
ලස්සන ළමයා ගෙදර යවන්නෙමු,ලස්සන ළමයා ගෙදර යවන්නීය,ලසසන ළමයා ගෙදර යවන්නීය
මම නැටුම් නටද්දී ළමයි වේගයෙන් යහු,මම නැටුම් නටද්දී ළමයි වේගයෙන් යවන්නෝය,මම නැටුම් නටද්දී ළමයි වේගෙන් යවන්නෝය
මම පොත බලා වේගයෙන් යනවා,ලස්සන වාහන පොත බලා ගෙදර යැවවේ,ලස්සන වාහන පොත ලා ගෙදර යැවවේ
ඔබ සින්දු කිව්වොත් අපි ගියෝය,ඔබ සින්දු කිව්වොත් අපි ගියෙමු,ඔබ සින්දු කිව්වෝ අපි ගියෙමු
මම නැටුම් නටද්දී ලස්සන ළමයා ගෙදර යන්නෙහි,මම නැටුම් නටද්දී ලස්සන ළමයා ගෙදර යන්නීය,ම නැටුම් නටද්දී ලස්සන ළමයා ගෙදර යන්නීය
මම ඔහුට පොතක් දෙවේ,මම ඔහුට පොතක් දුන්නෙමි,ම ඔහුට පොතක් දුන්නෙමි
මම නැටුම් නටද්දී නුබලා වේගයෙන් යන්නෝය,මම නැටුම් නටද්දී නුබලා වේගයෙන් යනවාලා,මම නැටුම් නටද්ී නුබලා වේගයෙන් යනවාලා
මම බත් කමින් වේගයෙන් යහු,මම බත් කමින් වේගයෙන් යවමි,ම බත් කමින් වේගයෙන් යවමි
ළමයා පොත බලා ගෙදර වේගයෙන් යවමි,ළමයා පොත බලා ගෙදර වේගයෙන් යවන්නේය,ළමයා පො බලා ගෙදර වේගයෙන් යවන්නේය
ලස්සන ළමයා පොත බලා ගෙදර ගියෙහු,ලස්සන ළමයා පොත බලා ගෙදර යවයි,ලස්සන මයා පොත බලා ගෙදර යවයි
මම පොත බලා ගෙදර යවයි,මම පොත බලා ගෙදර යවමි,ම පොත බලා ගෙදර යවමි
මම නැටුම් නටද්දී ළමයා ගෙදර ගියෙහි,මම නැටුම් නටද්දී ළමයා ගෙදර යවයි,ම නැටුම් නටද්දී ළමයා ගෙදර යවයි
අපි ගෙදර වේගයෙන් යැවෙහි,අපි ගෙදර වේගයෙන් යැවෙමු,අප ගෙදර වේගයෙන් යැවෙමු
ඔබ සින්දු කිව්වොත් ළමයා ගෙදර යැවෙමි,ඔබ සින්දු කිව්වොත් ළමයා ගෙදර යැවේ,ඔබ සින්දු කිව්වොත් ළමයා ගෙදර යවේ
නුබලා බත් කමින් වේගයෙන් යැවවේ,නුබලා බත් කමින් වේගයෙන් යැවෙහු,නුබලා බත් කමින් වේගෙන් යැවෙහු
වාහනය බත් කමින් වේගයෙන් ගියෙමු,වාහනය බත් කමින් වේගයෙන් යවයි,වාහනය බ් කමින් වේගයෙන් යවයි
මම නැටුම් නටද්දී නුබ වේගයෙන් යවන්නේය,මම නැටුම් නටද්දී නුබ වේගයෙන් යවන්නෙහි,මම නැටුම් නටද්දී නුබ වේගයෙන් යවන්ෙහි
නුබ බත් කමින් ගෙදර යැවේ,නුබ බත් කමින් ගෙදර ගියෙහි,නුබ බත් කින් ගෙදර ගියෙහි
ළමයි පොත බලා වේගයෙන් යන්නෙහිවා,ළමයි පොත බලා වේගයෙන් යති,ළමයි පොත බලා වේගයෙන් යි
මම නැටුම් නටද්දී ළමයා ගියෝය,මම නැටුම් නටද්දී ළමයා ගියේය,ම නැටුම් නටද්දී ළමයා ගියේය
අපි බත් කමින් වේගයෙන් ගියාය,අපි බත් කමින් වේගයෙන් ගියෙමු,අපි බත් කමින් ේගයෙන් ගියෙමු
ඔබ සින්දු කිව්වොත් ළමයා ගෙදර යවන්නෝය,ඔබ සින්දු කිව්වොත් ළමයා ගෙදර යවන්නේය,ඔබ සින්දු ිව්වොත් ළමයා ගෙදර යවන්නේය
ඔබ සින්දු කිව්වොත් නුබ ඔහුට පොතක් දෙත්වා,ඔබ සින්දු කිව්වොත් අපි ඔහුට පොතක් දෙවෙමු,ඔ සින්දු කිව්වොත් අපි ඔහුට පොතක් දෙවෙමු
වාහන බත් කමින් ගෙදර වේගයෙන් යහු,වාහන බත් කමින් ගෙදර වේගයෙන් යවයි,වාහන බත් කමින් ගෙදර වේගයන් යවයි
ඔබ සින්දු කිව්වොත් ළමයි ඔහුට පොතක් දෙවමු,ඔබ සින්දු කිව්වොත් ළමයි ඔහුට පොතක් දෙවන්නෝය,ඔබ සිනදු කිව්වොත් ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී අපි ඔහුට පොතක් දෙනවා,මම නැටුම් නටද්දී මම ඔහුට පොතක් දෙවෙමි,මම නැටුම් නටද්දී මම ඔුට පොතක් දෙවෙමි
වාහන යන්න,වාහන යත්වා,වාහන යත්ව
වාහනය ඔහුගෙන් පොතක් දෙවෙයි,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔුගෙන් පොතක් ගැනවේ
ළමයි බත් කමින් වේගයෙන් යවන්නෙමු,ළමයි බත් කමින් වේගයෙන් යවති,ළමයි බත් කමින් වේගයෙන් වති
ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් ගන්වයි,ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් ගන්වමි,ඔබ සින්දු කිව්වොත මම ඔහුගෙන් පොතක් ගන්වමි
නුබලා ගෙදර වේගයෙන් යවන්නීය,නුබලා ගෙදර වේගයෙන් යනවාලා,නුබලා ගෙදර වගයෙන් යනවාලා
ළමයා පොත බලා වේගයෙන් යවමි,ළමයා පොත බලා වේගයෙන් යවන්නේය,ළමයා පොත බලා වේගයෙන් යන්නේය
ඔබ සින්දු කිව්වොත් ලස්සන නුබලා ගෙදර යති,ඔබ සින්දු කිව්වොත් ලස්සන නුබ ගෙදර ගියෙහි,ඔබ සින්දු කිව්වොත් ලස්සන නුබ ගෙර ගියෙහි
වාහන ඔහුගෙන් පොතක් ගන්වහු,වාහන ඔහුගෙන් පොතක් ගන්වයි,වාහන ඔහුගෙන් පොතක් ගන්වි
නුබ බත් කමින් ගෙදර යන්නෝය,නුබ බත් කමින් ගෙදර යන්නෙහිවා,ුබ බත් කමින් ගෙදර යන්නෙහිවා
ළමයි පොත බලා වේගයෙන් යවන්නේය,ළමයි පොත බලා වේගයෙන් යවති,ළමයි පො බලා වේගයෙන් යවති
ඔබ සින්දු කිව්වොත් අපි ඔහුගෙන් පොතක් ගන්නෙහි,ඔබ සින්දු කිව්වොත් අපි ඔහුගෙන් පොතක් ගන්නෙමුවා,ඔබ සින්දු ිව්වොත් අපි ඔහුගෙන් පොතක් ගන්නෙමුවා
ඔබ සින්දු කිව්වොත් නුබ ඔහුට පොතක් ගන්හි,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යවවේ
මම පොත බලා ගෙදර යනලදී,මම පොත බලා ගෙදර යවමි,මම පොත බලා ගෙද යවමි
වාහනය වේගයෙන් යහුවා,වාහනය වේගයෙන් යවයි,වාහනය වේගයේ යවයි
නුබ ගෙදර වේගයෙන් යැවවෙයි,නුබ ගෙදර වේගයෙන් ගියෙහි,ුබ ගෙදර වේගයෙන් ගියෙහි
ඔබ සින්දු කිව්වොත් ළමයා යන්නෙහි,ඔබ සින්දු කිව්වොත් ළමයා යන්නීය,ඔබ සින්දු කිව්වත් ළමයා යන්නීය
අපි පොත බලා වේගයෙන් යවන්නෙමි,අපි පොත බලා වේගයෙන් යමුවා,අපි පො බලා වේගයෙන් යමුවා
නුබ බත් කමින් යන්නෝය,නුබ බත් කමින් යන්නෙහිවා,නුබ බත් කමින් යන්නෙහිා
වාහනය ඔහුගෙන් පොතක් ගන්නෙහිවා,වාහනය ඔහුගෙන් පොතක් ගන්නීය,වාහනය ඔහුගෙන් පොතක ගන්නීය
වාහන පොත බලා යහි,වාහන පොත බලා යවයි,වහන පොත බලා යවයි
නුබ පොත බලා ගෙදර වේගයෙන් යන්නෙමි,නුබ පොත බලා ගෙදර වේගයෙන් යන්න,ුබ පොත බලා ගෙදර වේගයෙන් යන්න
මම පොත බලා වේගයෙන් යනු,ලස්සන වාහන පොත බලා ගෙදර යැවවේ,ලස්සන වාහන ොත බලා ගෙදර යැවවේ
අපි වේගයෙන් යවන්නෙහු,අපි වේගයෙන් යවන්නෙමු,පි වේගයෙන් යවන්නෙමු
නුබ ඔහුට පොතක් දෙයි,නුබ ඔහුට පොතක් දීපන්,නුබ ඔහට පොතක් දීපන්
නුබ ඔහුට පොතක් ගන්වන්නෙහු,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ගෙද වේගයෙන් යැවවේ
නුබලා ගෙදර යැවෙමු,නුබලා ගෙදර ගියෙහු,නුබල ගෙදර ගියෙහු
ලස්සන නුබ ගෙදර යනලදී,ලස්සන නුබ ගෙදර යහිවා,ලස්සන නුබ ගෙදර යහිා
නුබ පොත බලා ගෙදර යැවවෙති,නුබ පොත බලා ගෙදර ගියෙහි,නුබ පොත බල ගෙදර ගියෙහි
ළමයි පොත බලා වේගයෙන් යවමු,ළමයි පොත බලා වේගයෙන් යවන්නෝය,ළමයි පොත බල වේගයෙන් යවන්නෝය
ළමයි ගෙදර යැවවෙයි,ළමයි ගෙදර යැවෙති,ළමයි ගෙර යැවෙති
ඔබ සින්දු කිව්වොත් ළමයි ඔහුගෙන් පොතක් ගන්වහි,ඔබ සින්දු කිව්වොත් ළමයි ඔහුගෙන් පොතක් ගන්වන්නෝය,ඔබ සිනදු කිව්වොත් ළමයි ඔහුගෙන් පොතක් ගන්වන්නෝය
ළමයා පොත බලා වේගයෙන් යවන්නෝය,ළමයා පොත බලා වේගයෙන් යවන්නේය,ළමයා පොත බලා වේගයෙන් යව්නේය
ඔබ සින්දු කිව්වොත් නුබලා ගෙදර ගියාය,ඔබ සින්දු කිව්වොත් නුබලා ගෙදර ගියෙහු,ඔබ ින්දු කිව්වොත් නුබලා ගෙදර ගියෙහු
අපි පොත බලා වේගයෙන් යැවවෙති,අපි පොත බලා වේගයෙන් යැවෙමු,අපි පො බලා වේගයෙන් යැවෙමු
මම නැටුම් නටද්දී ළමයා ඔහුගෙන් පොතක් ගන්නෙමු,මම නැටුම් නටද්දී ළමයා ඔහුගෙන් පොතක් ගන්නීය,මම නැටුම් නටද්ී ළමයා ඔහුගෙන් පොතක් ගන්නීය
නුබලා  යති,නුබ ගියෙහි,නුබ ියෙහි
මම නැටුම් නටද්දී වාහනය ගෙදර ගියෙමි,මම නැටුම් නටද්දී වාහනය ගෙදර යවයි,මම නැටුම් නටද්දී වාහනය ෙදර යවයි
ලස්සන වාහන බත් කමින් ගෙදර යැවෙති,ලස්සන වාහන බත් කමින් ගෙදර යැවෙයි,ස්සන වාහන බත් කමින් ගෙදර යැවෙයි
නුබ වේගයෙන් යැවෙති,නුබ වේගයෙන් ගියෙහි,නුබ වේගයෙන් ගියහි
මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් ගන්නවාලා,මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් ගන්නවා,ම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් ගන්නවා
මම නැටුම් නටද්දී නුබ යන්නෙමි,මම නැටුම් නටද්දී නුබ යන්න,මම නැටුම් නටද්දී නුබ යන්
ඔබ සින්දු කිව්වොත් වාහනය ගෙදර වේගයෙන් යමුවා,ඔබ සින්දු කිව්වොත් වාහනය ගෙදර වේගයෙන් යන්නේය,ඔබ සින්දු කිව්වොත් වාහනය ෙදර වේගයෙන් යන්නේය
අපි යමිවා,අපි යන්නෙමු,අපි යන්නමු
ළමයි වේගයෙන් යනු,ළමයි වේගයෙන් යති,ළමයි ේගයෙන් යති
ලස්සන නුබලා බත් කමින් ගෙදර යන්නෙමිවා,ලස්සන නුබලා බත් කමින් ගෙදර යනවාලා,ලස්සන නුබලා බත් මින් ගෙදර යනවාලා
ලස්සන වාහනය ගෙදර ගියෙමු,ලස්සන වාහනය ගෙදර යවයි,ලස්සන වානය ගෙදර යවයි
වාහනය ඔහුට පොතක් ගන්නෙමි,වාහන ගෙදර වේගයෙන් යැවවේ,ාහන ගෙදර වේගයෙන් යැවවේ
මම නැටුම් නටද්දී නුබලා ඔහුගෙන් පොතක් දෙයි,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ
වාහනය පොත බලා ගෙදර යවන්නෙමි,වාහනය පොත බලා ගෙදර යවන්නීය,වාහන පොත බලා ගෙදර යවන්නීය
ඔබ සින්දු කිව්වොත් ලස්සන ළමයා ගෙදර යැවෙති,ඔබ සින්දු කිව්වොත් ලස්සන ළමයා ගෙදර යැවෙයි,ඔබ සින්දු ිව්වොත් ලස්සන ළමයා ගෙදර යැවෙයි
ඔබ සින්දු කිව්වොත් ලස්සන ළමයි ගෙදර යවමු,ඔබ සින්දු කිව්වොත් ලස්සන ළමයි ගෙදර යවන්නෝය,ඔබ සින්දු කිව්වොත් ලස්සන ළමයි ගෙදර යවන්නය
වාහනය පොත බලා යමි,වාහනය පොත බලා යන්නේය,වාහනය පොත ලා යන්නේය
ඔබ සින්දු කිව්වොත් නුබලා ඔහුට පොතක් දෙවන්නීය,ඔබ සින්දු කිව්වොත් නුබලා ඔහුට පොතක් දීපල්ලා,ඔබ සින්දු කව්වොත් නුබලා ඔහුට පොතක් දීපල්ලා
ඔබ සින්දු කිව්වොත් ළමයි ඔහුට පොතක් දීපල්ලා,ඔබ සින්දු කිව්වොත් ළමයි ඔහුට පොතක් දෙන්නෝය,ඔබ සින්දු කිව්වොත් ළමි ඔහුට පොතක් දෙන්නෝය
අපි පොත බලා ගෙදර වේගයෙන් ගියේය,අපි පොත බලා ගෙදර වේගයෙන් ගියෙමු,අපි පො බලා ගෙදර වේගයෙන් ගියෙමු
නුබලා ඔහුට පොතක් ගනිති,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ගෙදර වේගයෙන් යැවේ
වාහන ඔහුගෙන් පොතක් දෙන්නීය,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔුගෙන් පොතක් ගැනවේ
මම නැටුම් නටද්දී අපි ඔහුට පොතක් ගන්නෙමු,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,මම නැටුම් නටද්දී වාහන ගෙදර වේයෙන් යැවවේ
වාහන පොත බලා ගෙදර වේගයෙන් යවන්නෙමු,වාහන පොත බලා ගෙදර වේගයෙන් යවන්නීය,වාහන පොත බලා ගෙදර වේයෙන් යවන්නීය
ඔබ සින්දු කිව්වොත් වාහනය ඔහුට පොතක් ගත්තාය,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සින්දු කිව්වොත් වහන ගෙදර වේගයෙන් යැවවේ
නුබ ඔහුගෙන් පොතක් ගන්වන්නේය,නුබ ඔහුගෙන් පොතක් ගන්වන්නෙහි,නුබ ඔහුගෙන් ොතක් ගන්වන්නෙහි
අපි ගියේය,අපි ගියෙමු,අි ගියෙමු
ළමයි බත් කමින් ගෙදර වේගයෙන් යවමු,ළමයි බත් කමින් ගෙදර වේගයෙන් යවන්නෝය,ළමයි බත් කමින් ගෙදර වේගයෙන යවන්නෝය
ඔබ සින්දු කිව්වොත් අපි ඔහුගෙන් පොතක් ගත්තේය,ඔබ සින්දු කිව්වොත් අපි ඔහුගෙන් පොතක් ගත්තෙමු,ඔබ සින්දු කව්වොත් අපි ඔහුගෙන් පොතක් ගත්තෙමු
